PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster_GMM,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob,Cluster_3_Prob,Cluster_4_Prob,Cluster_5_Prob,Cluster_6_Prob,Cluster_7_Prob,Cluster_8_Prob,Cluster_9_Prob,Cluster_10_Prob,Cluster_11_Prob,Cluster_12_Prob,Cluster_13_Prob
-0.6529707858048832,-0.2521027313080904,-0.8802367654798611,0.0991757165103253,0.0131036387865668,-0.1486080511861602,525.0,22.0,3.7,27.0,1370.0,5.0,214.0,1733.0,1.5,3.9,0.33,7.1,5.9,5159.0,LAKE,5,1.0719528101613435e-16,8.19013157274024e-12,9.680445946127817e-148,5.267149117065334e-07,0.01883647748698905,0.8756605983836817,7.209156358919833e-05,1.1954073372537176e-06,0.005975459549703835,0.09657584299414756,0.002877807891448809,8.168368141297785e-16,0.0,3.246330949649956e-30
-1.1942510361969365,-0.8441986142471568,0.4551623898000305,-0.1392789685754955,0.1398301241906521,-0.4602484850562449,21.0,18.0,6.1,29.0,1800.0,11.0,7.0,460.0,1.6,3.2,0.69,7.2,2.79,4368.0,LAKE,4,0.0021859881839534205,2.2974274287506598e-05,0.0,1.0978956458764561e-25,0.9442569114201366,0.006741033186069517,0.0004425536521951772,1.1085479988339915e-18,0.0026027148382762742,0.0050692878337703865,4.190083023087818e-09,0.03867853242122845,6.828630717079871e-28,4.505313744136424e-44
-0.4824625515336241,-0.9386011763492844,-1.2032200390461163,0.8748065795604326,-0.2197739312461355,0.2119472627308996,39.0,26.0,4.8,29.0,888.0,3.0,7.0,240.0,2.4,3.4,1.12,7.1,2.42,2353.0,LAKE,4,0.058617688676844394,1.7407436819561865e-07,6.549582810849377e-247,1.9515272575731247e-32,0.7579053858232396,0.057355016546823706,1.033798732777607e-11,1.3985942800887266e-11,0.0006598728863153923,0.0004662143032517463,2.42473791497785e-06,0.12499322292691806,0.0,4.006963840183216e-37
-1.319202561412008,0.3568737185485634,-1.410912667448513,0.3237900612023811,-0.8718439276922697,-0.5044339304604794,388.0,23.0,2.2,27.0,535.0,4.0,89.0,1046.0,1.5,5.1,0.32,6.6,1.26,5147.0,LAKE,4,4.024294964171731e-12,0.25975126925145814,2.5648858184598637e-110,0.16093473451959942,0.5311530692940916,0.0241921828237474,6.271814695539333e-05,0.012077095134161898,1.5506640785138394e-05,0.011324639023029909,0.00048784478977891184,9.403723681944431e-07,0.0,3.58533481314204e-33
-0.7709507885611555,-1.3185110281187995,-1.5361239079914657,-1.2766618013069218,1.2604628324378788,-0.2597965027985911,62.0,18.0,2.9,22.0,3294.5,4.0,3.0,689.0,2.6,5.7,1.11,7.4,1.78,1790.0,LAKE,4,1.981974139051509e-05,3.0779208391065735e-09,3.12072978810791e-84,5.696081995194702e-34,0.9886692791654549,8.401705357682901e-05,4.497012277103357e-08,7.791280474683532e-19,0.0008331588433288423,0.003177715217740667,9.359398048325925e-15,0.007215961930455634,0.0,1.1789934759771237e-49
-0.9157174811116444,-0.7198092138886125,-2.352220183105373,-0.3415310205760543,0.2388590915126283,0.7169211383782883,343.0,24.0,2.9,24.0,990.0,0.0,3.0,1380.0,2.4,6.6,1.4,7.2,2.04,5156.0,TANK,11,1.2898687984432543e-06,0.002884836897436319,3.000384989042341e-11,2.944062281835163e-23,0.21416592181842872,0.030376921590415627,7.062303283885183e-13,9.750479477372687e-20,0.0008512499702953024,1.4933396910294464e-05,1.4816580114897595e-06,0.751703364768994,0.0,3.643058641358012e-37
-1.6235527154532468,0.1575119886413511,-0.6072868317041535,0.4859759041850313,-0.4164409941075962,0.0317300109948953,258.0,22.0,2.0,29.0,502.0,7.0,104.0,980.0,1.0,5.2,0.32,7.0,3.12,4391.0,TANK,4,2.1428897789227617e-12,0.07067054091744775,0.0,0.05065429365512669,0.76596130538163,0.04584256763973787,9.029936801208341e-05,2.7877706509265585e-05,0.00010580530012159447,0.014135884008181306,0.05248585377126949,2.557224982129188e-05,1.1422146107913203e-34,1.5765394503582174e-33
-1.561764307693292,-0.5395455857553582,-1.6489972533155894,-1.636492957589616,1.1150784833555571,-0.190868434338844,176.0,17.0,2.9,21.0,1286.0,4.0,3.0,680.0,2.5,6.2,0.45,7.5,4.46,5150.0,TANK,1,7.299601663709972e-10,0.6854217572991945,2.202598314946242e-158,1.0120428316126249e-10,0.26879208971355456,3.187446823687282e-05,0.00030843564619116007,7.615069671918471e-17,6.670778572066091e-06,0.001997890297612635,6.248144331489891e-09,0.04344127471727527,5.397079346603723e-14,6.739937468412475e-49
-2.107048345166827,0.0636114147639793,0.0433345386087793,0.1627943312518237,0.6532262115003078,0.0641538430721136,368.0,19.0,2.3,29.0,720.0,10.0,97.0,914.0,1.2,5.1,0.32,7.5,0.79,4921.0,WETLAND,4,1.704140067069471e-14,0.0860389989666497,0.0,0.2607882567568375,0.6034863761862046,0.007651032859174611,0.017650044770020294,1.3358535119027735e-11,9.702527928497663e-05,0.011215812228847724,0.012819829625177278,0.00025262331442803265,0.0,6.072357104213275e-39
-1.652807592426429,-0.3717144461070487,-1.4539077485934548,-0.1608152095773608,0.2418024991913167,0.524713014646297,29.0,22.0,2.6,26.0,480.0,4.0,3.0,240.0,1.8,6.4,0.92,7.3,2.05,4936.0,WETLAND,1,1.8095044900073488e-07,0.7776129235852056,2.2115398608140034e-70,1.0384473827070787e-10,0.14664325282333032,0.0030121331992833534,5.4659624361386707e-08,1.0906970078242267e-10,4.674584619341613e-05,0.00017654532680622535,6.331690193463606e-05,0.07244484649425821,6.607542412314446e-185,7.310213239019042e-40
