PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster_GMM,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob
-0.6529707858048832,-0.2521027313080904,-0.8802367654798611,0.0991757165103253,0.0131036387865668,-0.1486080511861602,525.0,22.0,3.7,27.0,1370.0,5.0,214.0,1733.0,1.5,3.9,0.33,7.1,5.9,5159.0,LAKE,1,0.0003045334666367048,0.9831229470145738,0.016572519518789304
-1.1942510361969365,-0.8441986142471568,0.4551623898000305,-0.1392789685754955,0.1398301241906521,-0.4602484850562449,21.0,18.0,6.1,29.0,1800.0,11.0,7.0,460.0,1.6,3.2,0.69,7.2,2.79,4368.0,LAKE,1,0.3791696976684657,0.6158999916098307,0.004930310721703856
-0.4824625515336241,-0.9386011763492844,-1.2032200390461163,0.8748065795604326,-0.2197739312461355,0.2119472627308996,39.0,26.0,4.8,29.0,888.0,3.0,7.0,240.0,2.4,3.4,1.12,7.1,2.42,2353.0,LAKE,0,0.9801002246928274,0.01747771984066826,0.0024220554665039997
-1.319202561412008,0.3568737185485634,-1.410912667448513,0.3237900612023811,-0.8718439276922697,-0.5044339304604794,388.0,23.0,2.2,27.0,535.0,4.0,89.0,1046.0,1.5,5.1,0.32,6.6,1.26,5147.0,LAKE,1,0.001362905982189116,0.9974219037814102,0.0012151902364010716
-0.7709507885611555,-1.3185110281187995,-1.5361239079914657,-1.2766618013069218,1.2604628324378788,-0.2597965027985911,62.0,18.0,2.9,22.0,3294.5,4.0,3.0,689.0,2.6,5.7,1.11,7.4,1.78,1790.0,LAKE,0,0.7885876487053438,0.19829389961902452,0.013118451675631934
-0.9157174811116444,-0.7198092138886125,-2.352220183105373,-0.3415310205760543,0.2388590915126283,0.7169211383782883,343.0,24.0,2.9,24.0,990.0,0.0,3.0,1380.0,2.4,6.6,1.4,7.2,2.04,5156.0,TANK,0,0.9933921034325957,0.0029168856797184557,0.003691010887686126
-1.6235527154532468,0.1575119886413511,-0.6072868317041535,0.4859759041850313,-0.4164409941075962,0.0317300109948953,258.0,22.0,2.0,29.0,502.0,7.0,104.0,980.0,1.0,5.2,0.32,7.0,3.12,4391.0,TANK,1,0.0042736222789220525,0.9938527379264808,0.0018736397945974866
-1.561764307693292,-0.5395455857553582,-1.6489972533155894,-1.636492957589616,1.1150784833555571,-0.190868434338844,176.0,17.0,2.9,21.0,1286.0,4.0,3.0,680.0,2.5,6.2,0.45,7.5,4.46,5150.0,TANK,1,0.19835999788955622,0.8012942935414499,0.00034570856899381297
-2.107048345166827,0.0636114147639793,0.0433345386087793,0.1627943312518237,0.6532262115003078,0.0641538430721136,368.0,19.0,2.3,29.0,720.0,10.0,97.0,914.0,1.2,5.1,0.32,7.5,0.79,4921.0,WETLAND,1,0.02311699598232705,0.9752354343083374,0.0016475697093355042
-1.652807592426429,-0.3717144461070487,-1.4539077485934548,-0.1608152095773608,0.2418024991913167,0.524713014646297,29.0,22.0,2.6,26.0,480.0,4.0,3.0,240.0,1.8,6.4,0.92,7.3,2.05,4936.0,WETLAND,0,0.7635250867527676,0.2337098248356496,0.002765088411582512
-1.7720946634512589,0.2906829809499351,-1.002535597766265,0.0924618851936312,-0.2104698193138079,-0.2014818464457692,243.0,21.0,2.2,27.0,603.0,6.0,102.0,816.0,1.0,5.4,0.32,7.0,1.12,4919.0,WETLAND,1,0.00690923910916865,0.9921690960536872,0.0009216648371442728
-0.956114288537278,-0.7103016537595828,0.0944322464784427,1.2980139600343237,0.2686027530434711,-0.1523112278112782,20.0,24.0,10.2,32.0,804.0,8.0,4.0,460.0,1.7,2.9,0.51,7.4,2.42,4926.0,WETLAND,1,0.4041937280880465,0.5937948470907067,0.002011424821247056
-0.4893698280694591,-1.3714465596156078,0.6221925879507842,2.202780646663705,-0.1245783423364541,0.4704416479909364,15.0,26.0,2.6,36.0,3294.5,10.0,3.0,240.0,1.6,6.4,0.55,7.1,8.05,4931.0,WETLAND,0,0.9284452283272576,0.06468827790473372,0.006866493768009527
-1.5844236180448483,0.2703217181092677,1.288480149489661,-0.5123919306170732,-0.566604047315457,-0.555855479258506,689.0,15.0,3.5,30.0,1203.0,15.0,244.0,1986.0,1.3,4.0,0.32,6.8,3.59,4917.0,WETLAND,1,5.464589409694561e-07,0.998555397337024,0.001444056204034929
-0.3666166637941447,-1.3921168258406789,-1.9021715316187304,0.5477040796514261,1.346474188645796,0.1164891773455031,22.0,25.0,2.9,26.0,3294.5,1.0,3.0,423.0,2.7,6.1,0.95,7.5,1.69,4934.0,WETLAND,0,0.8976033201851606,0.09847933143605707,0.003917348378781664
-1.429461834549515,0.147280522506926,0.5221074479961173,-0.7138336995422127,-0.5640696767820946,-0.4679280451377016,479.0,16.0,3.7,28.0,1172.0,12.0,226.0,1733.0,1.2,4.1,0.46,6.8,3.76,4918.0,WETLAND,1,1.608356620484683e-05,0.9984640193731191,0.0015198970606761088
