PC1,PC2,PC3,PC4,PC5,orig_Max BOD,orig_Min Temperature,orig_Min BOD,orig_Max Temperature,orig_Max Fecal Coliform,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Max Nitrate N + Nitrite N,orig_Max Total Coliform,orig_Min pH,orig_Temperature_Range,orig_Min Fecal Coliform,STN_Code,Water_Body_Type
-0.7799828550145088,0.07969523219088646,-0.8949478262268683,0.051500028323568425,-0.10954880707966319,3.7,22.0,1.5,27.0,525.0,3.9,0.33,5.9,1733.0,7.1,5.0,214.0,5159.0,LAKE
-1.5004637581612814,0.47040174533296836,0.4313321613610442,-0.22189052358931008,-0.082925322670659,6.1,18.0,1.6,29.0,21.0,3.2,0.69,2.79,460.0,7.2,11.0,7.0,4368.0,LAKE
-0.4969626094397687,0.9755354581692729,-1.1866631325363817,0.9184475212872849,-0.08482084381440767,4.8,26.0,2.4,29.0,39.0,3.4,1.12,2.42,240.0,7.1,3.0,7.0,2353.0,LAKE
-1.1803792085668,-0.342334542910875,-1.4117291699584273,0.3567295410238897,-0.8646228022668713,2.2,23.0,1.5,27.0,388.0,5.1,0.32,1.26,1046.0,6.6,4.0,89.0,5147.0,LAKE
-1.525841220137364,0.5535361617396773,-1.599045127039092,-1.5325979479010274,0.6570063772325646,2.9,18.0,2.6,22.0,62.0,5.7,1.11,1.78,689.0,7.4,4.0,3.0,1790.0,LAKE
-0.9582898483368053,0.6787485881626796,-2.3463675075209727,-0.35394279986585164,0.22774308525439632,2.9,24.0,2.4,24.0,343.0,6.6,1.4,2.04,1380.0,7.2,0.0,3.0,5156.0,TANK
-1.5030812408704717,-0.18875146076185592,-0.6094734102374477,0.503522165443651,-0.3891747864117155,2.0,22.0,1.0,29.0,258.0,5.2,0.32,3.12,980.0,7.0,7.0,104.0,4391.0,TANK
-1.709491076250472,0.2928721961994434,-1.6650647689087068,-1.745335681371311,0.8814623574406016,2.9,17.0,2.5,21.0,176.0,6.2,0.45,4.46,680.0,7.5,4.0,3.0,5150.0,TANK
-2.0777230188581686,-0.24594507882909314,0.02717212298738902,0.1094080833438539,0.6091860296580482,2.3,19.0,1.2,29.0,368.0,5.1,0.32,0.79,914.0,7.5,10.0,97.0,4921.0,WETLAND
-1.5546387681342522,0.3706040072569319,-1.4460795743897872,-0.15378613814624412,0.29336106243536847,2.6,22.0,1.8,26.0,29.0,6.4,0.92,2.05,240.0,7.3,4.0,3.0,4936.0,WETLAND
-1.6768314152569506,-0.37087867118288964,-1.0116822376298844,0.08181309588596977,-0.24913339975968057,2.2,21.0,1.0,27.0,243.0,5.4,0.32,1.12,816.0,7.0,6.0,102.0,4919.0,WETLAND
-0.9599557743161652,0.6670043281363611,0.09993427417407663,1.3100406650061738,0.3960052539691275,10.2,24.0,1.7,32.0,20.0,2.9,0.51,2.42,460.0,7.4,8.0,4.0,4926.0,WETLAND
-1.2523677566014046,0.5912872082250602,0.5563533077604796,2.0223333435098936,-0.5387145219019589,2.6,26.0,1.6,36.0,15.0,6.4,0.55,8.05,240.0,7.1,10.0,3.0,4931.0,WETLAND
-1.661214328298175,-0.530329504567844,1.2649956358853323,-0.5511599175885373,-0.7694435098967923,3.5,15.0,1.3,30.0,689.0,4.0,0.32,3.59,1986.0,6.8,15.0,244.0,4917.0,WETLAND
-1.1188108923311753,0.6624306999068201,-1.9655161233659855,0.3040465959935227,0.881504259134549,2.9,25.0,2.7,26.0,22.0,6.1,0.95,1.69,423.0,7.5,1.0,3.0,4934.0,WETLAND
-1.4965419468724168,-0.36205687759013994,0.5041114589004794,-0.7456141975782073,-0.7568266634567147,3.7,16.0,1.2,28.0,479.0,4.1,0.46,3.76,1733.0,6.8,12.0,226.0,4918.0,WETLAND
-1.0387912842582123,0.467865055765116,-1.9966973235648118,0.3615614561670626,0.35595983038941437,2.9,25.0,2.6,26.0,16.0,5.8,0.74,1.76,260.0,7.2,1.0,3.0,4933.0,WETLAND
-0.7502887359998649,0.6602752061762232,-1.7457692070626478,0.060410894324126094,-0.6244608380414627,3.0,24.0,2.2,26.0,9.0,5.0,1.04,3.61,210.0,6.8,2.0,3.0,4929.0,WETLAND
-1.6358829816376306,-0.31520971742509196,-1.1913117136201312,0.2687308750827771,0.15183436600589062,2.3,22.0,1.0,27.0,293.0,5.3,0.32,0.74,722.0,7.2,5.0,118.0,4916.0,WETLAND
-1.171961965753804,0.36370870093375984,-0.3694271081941226,1.1774935445619925,-0.5058566564436123,3.2,24.0,1.1,31.0,15.0,3.2,0.53,2.33,240.0,7.0,7.0,4.0,4925.0,WETLAND
-1.0673296141927087,0.5862483791492813,-1.6502594685306025,0.5771400619678745,0.4675144402852961,3.6,25.0,1.8,27.0,11.0,5.0,0.57,3.89,210.0,7.4,2.0,3.0,4930.0,WETLAND
-1.2417982205719869,-0.34261308783409217,-0.7905994864335294,0.0346739234734672,0.3713102846414058,3.7,21.0,1.2,27.0,914.0,4.2,0.32,1.88,2420.0,7.3,6.0,228.0,4915.0,WETLAND
-1.4161185457027672,0.3328510626089528,-0.10936500290071467,1.3358476169305458,0.0709780456940766,6.2,24.0,1.0,32.0,21.0,4.3,0.55,1.88,240.0,7.3,8.0,9.0,4924.0,WETLAND
1.4614091092849548,1.4990337884750489,-0.3236581249131788,0.012738909021761868,0.4143300649820624,35.8,23.0,5.4,27.0,43.0,0.3,0.32,4.95,2400.0,6.8,4.0,3.0,4928.0,WETLAND
-1.3511931375689867,-0.22565116370378796,-1.183873561630562,-0.15343064989023175,-0.2209979580651867,2.7,21.0,1.2,26.0,403.0,4.8,0.43,1.94,1046.0,7.0,5.0,142.0,4923.0,WETLAND
-1.8680893061419852,-0.12153376442642164,-0.1355676999938035,0.5783081293949712,0.140736313469629,2.8,21.0,1.0,30.0,330.0,5.1,0.32,1.69,980.0,7.3,9.0,38.0,4920.0,WETLAND
-1.4014197248909532,-0.028199716718409245,-1.282894996843405,1.0184268186567451,-0.11427102664211988,2.8,25.0,1.2,29.0,21.0,5.7,0.38,1.75,2400.0,7.1,4.0,3.0,4927.0,WETLAND
-0.16748610569980132,1.6727233938823558,-0.98363787263569,-0.550238996966138,0.1055018964078599,6.2,23.0,4.0,27.0,609.0,6.1,2.3000000000000003,5.88,2938.0,7.2,4.0,4.0,4935.0,WETLAND
-2.544469509044115,-0.06342584634897933,1.4624180913074365,0.05642039302722084,0.43513831929733526,4.2,16.0,1.4,32.0,15.0,5.6,0.32,2.12,240.0,7.5,16.0,3.0,4932.0,WETLAND
-0.48299545150700884,-0.130013027892781,-1.761980033592328,-0.5202012393127361,-0.33778379174460677,2.8,22.0,2.1,24.0,940.0,4.0,0.8,2.0,1600.0,6.8,2.0,300.0,2207.0,LAKE
-0.6093433765006242,-0.13443393608308057,-2.079793656654408,-0.679981570611248,-0.12173197211622762,2.9,22.0,2.0,23.0,730.0,4.5,0.9,1.2,1500.0,6.9,1.0,300.0,3789.0,LAKE
2.7883061523378965,1.142387324170368,2.4192398746412445,-0.4722375763280064,0.3973776109167225,29.4,20.0,7.05,33.0,3900.0,0.3,2.3000000000000003,5.8,6400.0,6.8,13.0,766.0,3820.0,LAKE
-0.7663815330658549,-0.32241587367465996,-0.5269063419401668,-0.4148654610878429,-0.35886205147605066,2.8,20.0,2.4,27.0,910.0,4.6,0.8,2.1,2100.0,6.8,7.0,360.0,2220.0,LAKE
-1.151462901880345,-0.10318139851651915,1.545742777880594,1.7186470117850727,-0.36137825758400377,2.8,23.0,2.1,37.0,610.0,4.8,0.9,1.6,1400.0,7.0,14.0,300.0,2206.0,LAKE
-0.16644940326961297,0.9633237412420224,1.5637696498199647,-0.630940361562452,-0.4011996185964235,5.9,18.0,5.0,32.0,920.0,5.0,2.3000000000000003,4.0,1600.0,6.8,14.0,360.0,2218.0,LAKE
-0.25908484315498487,0.999251933127063,1.5279876779889747,-0.6267143354826785,-0.40060404164469926,5.8,18.0,5.1,32.0,940.0,5.3,2.3000000000000003,3.8,2000.0,6.8,14.0,300.0,1529.0,LAKE
-1.2761722124239188,-0.30329893892984133,1.919597507565237,1.410254869375736,-0.9999809236986689,2.5,21.0,1.8,37.0,620.0,4.6,0.8,2.1,1300.0,6.7,16.0,300.0,3821.0,LAKE
-0.7713721308807665,-0.4327934747911776,0.29712642836697845,0.10441386426840464,-0.8492100716043713,2.8,20.0,2.2,30.0,1100.0,4.0,0.7,2.2,2100.0,6.6,10.0,360.0,1263.0,LAKE
-0.4782915009307517,-0.0949961527880393,-1.7864756473824739,-0.5570562319092546,-0.5664773029784199,2.8,22.0,2.0,24.0,720.0,4.2,0.9,2.2,1400.0,6.7,2.0,300.0,3787.0,LAKE
-1.2670126639109083,-0.4336100678268288,1.4778011055882676,0.31302466172821714,-0.9451211862480133,2.7,18.0,2.3,33.0,730.0,4.0,0.7,1.1,1500.0,6.6,15.0,300.0,4337.0,LAKE
2.086948282182904,2.1374599081297343,0.624244349122333,-0.8656312603097046,0.9259966097453779,29.6,21.0,7.05,28.0,1500.0,0.3,2.3,3.6,3500.0,7.1,7.0,300.0,3812.0,LAKE
-0.49748544212871504,-0.15494173230316335,-2.047755497077265,-0.6444292000965036,-0.28711527292117794,2.7,22.0,2.1,23.0,720.0,4.0,0.7,2.0,1300.0,6.8,1.0,300.0,3783.0,LAKE
-0.5675127644393508,-0.31686358216967137,-1.3279373412591002,-0.4994351192180919,-0.8678299460899471,2.9,21.0,2.2,25.0,730.0,4.0,0.7,1.6,1500.0,6.5,4.0,300.0,3800.0,LAKE
-0.49144604894493993,-0.43908895583972574,-2.1124457526570097,-0.5746834373130782,-0.7521703750021806,2.6,22.0,2.1,23.0,720.0,4.0,0.5,1.2,1400.0,6.5,1.0,300.0,2205.0,LAKE
-1.0935210865466392,-0.1621255577869892,2.059585027244133,1.7276283784041693,-0.7611484274257583,2.7,22.0,2.2,38.0,730.0,4.1,0.8,2.0,1500.0,6.8,16.0,300.0,3808.0,LAKE
-0.736992590314758,-0.23116720383172312,0.5350998019370409,-0.15067422844753664,-1.1307636176745608,2.6,19.0,2.3,30.0,720.0,4.0,0.8,4.0,1400.0,6.5,11.0,360.0,3798.0,LAKE
-0.9554711233944346,-0.18265078787150146,0.6210986878195125,0.6133411382269903,-0.5982363946149312,2.8,21.0,2.1,32.0,720.0,4.0,0.8,1.8,1500.0,6.8,11.0,300.0,2215.0,LAKE
1.6158497293672893,0.327928203379046,2.6749029979024463,0.3917949288002766,0.9588114337279491,19.7,20.0,7.05,35.0,2800.0,0.3,1.2,2.0,4400.0,7.0,15.0,766.0,3814.0,LAKE
-0.7785859256286184,-0.31618009969013655,-1.0962761564136119,-0.6429201180338145,-0.29436208039687334,2.9,20.0,2.3,25.0,910.0,4.1,0.7,1.1,2000.0,6.8,5.0,300.0,3804.0,LAKE
2.63718363675648,1.1982822559112056,2.9716078202925242,-0.13429248783609066,0.5208165360373219,29.6,20.0,7.05,35.0,3900.0,0.3,2.3000000000000003,5.7,5300.0,6.9,15.0,766.0,3819.0,LAKE
